Conference,Year,Continent,EU,NA,AS,SA,AF,OC,Local
ICFP,10,NA,34.8,56.0,8.3,0.0,0.0,0.9,56.0
ICFP,11,AS,33.0,17.9,46.4,0.0,0.0,2.7,46.4
ICFP,12,EU,70.1,22.5,6.0,0.2,0.0,1.2,70.1
ICFP,13,NA,31.1,62.2,3.6,1.0,0.0,2.2,62.2
ICFP,14,EU,72.3,19.3,4.6,0.6,0.0,3.3,72.3
ICFP,15,NA,28.9,58.5,5.0,1.6,0.5,5.5,58.5
ICFP,16,AS,32.0,24.4,36.0,0.8,0.2,6.6,36.0
ICFP,17,EU,64.2,24.2,7.3,0.2,0.2,4.1,64.2
ICFP,18,NA,29.0,63.0,6.6,1.0,0.0,0.4,63.0
POPL,9,NA,39.9,49.2,9.4,0.6,0.0,0.9,49.2
POPL,11,NA,35.2,56.1,7.9,0.0,0.0,0.7,56.1
POPL,12,NA,29.5,61.0,8.4,0.2,0.2,0.7,61.0
POPL,13,EU,58.9,29.4,11.3,0.2,0.0,0.2,58.9
POPL,14,NA,36.6,54.2,6.9,1.3,0.2,0.8,54.2
POPL,15,AS,29.4,21.6,48.6,0.0,0.2,0.2,48.6
POPL,16,NA,33.4,57.8,7.8,0.6,0.2,0.2,57.8
POPL,17,EU,63.6,25.5,8.9,1.3,0.4,0.4,63.6
POPL,18,NA,31.4,56.9,9.2,1.6,0.2,0.7,56.9
PLDI,9,EU,29.8,59.6,8.6,0.4,0.4,1.2,29.8
PLDI,13,NA,18.2,69.4,10.3,0.2,0.0,1.9,69.4
PLDI,14,EU,42.9,44.3,10.5,0.7,0.0,1.6,42.9
PLDI,15,NA,20.6,70.8,7.3,0.0,0.0,1.3,70.8
PLDI,16,NA,13.9,73.3,11.9,0.0,0.0,0.9,73.3
PLDI,17,EU,43.2,39.0,14.1,1.0,0.0,2.6,43.2
PLDI,18,NA,13.7,78.2,7.1,0.2,0.0,0.9,78.2
SPLASH,9,NA,25.4,61.4,8.2,3.5,0.3,1.3,61.4
SPLASH,10,NA,23.3,62.9,8.8,2.8,0.2,1.9,62.9
SPLASH,12,NA,22.4,62.2,11.5,2.3,0.2,1.4,62.2
SPLASH,13,NA,24.8,65.0,4.8,4.0,0.2,1.3,65.0
SPLASH,14,NA,20.0,68.8,4.7,4.3,0.2,2.0,68.8
SPLASH,15,NA,30.3,56.1,7.2,4.1,0.0,2.3,56.1
SPLASH,16,EU,61.0,27.4,8.2,2.1,0.3,1.0,61.0
SPLASH,17,NA,27.3,58.1,8.2,4.1,0.0,2.2,58.1
