Year1,Year2,Overlap
9,11,94,331,401
9,12,101,331,536
9,13,74,331,540
9,14,87,331,533
9,15,29,331,463
9,16,65,331,488
9,17,64,331,719
9,18,58,331,575
11,12,150,401,536
11,13,100,401,540
11,14,103,401,533
11,15,39,401,463
11,16,78,401,488
11,17,72,401,719
11,18,77,401,575
12,13,129,536,540
12,14,147,536,533
12,15,60,536,463
12,16,108,536,488
12,17,101,536,719
12,18,98,536,575
13,14,152,540,533
13,15,83,540,463
13,16,97,540,488
13,17,124,540,719
13,18,91,540,575
14,15,90,533,463
14,16,137,533,488
14,17,132,533,719
14,18,137,533,575
15,16,74,463,488
15,17,75,463,719
15,18,81,463,575
16,17,146,488,719
16,18,156,488,575
17,18,151,719,575
