Conference,EU,NA,AS,SA,AF,OC,Local
ICFP,45.1,38.2,12.9,0.6,0.1,3.1,59.2
POPL,41.0,44.8,12.8,0.7,0.2,0.5,57.0
PLDI,25.8,62.2,10.1,0.4,0.0,1.5,60.1
SPLASH,29.6,57.5,7.6,3.4,0.2,1.7,61.7
Any,36.1,49.9,10.9,1.4,0.1,1.7,59.5
