SPLASH9,NA,180,435,58,25,2,9
SPLASH10,NA,132,356,50,16,1,11
SPLASH12,NA,97,270,50,10,1,6
SPLASH13,NA,150,394,29,24,1,8
SPLASH14,NA,98,338,23,21,1,10
SPLASH15,NA,185,343,44,25,0,14
SPLASH16,EU,356,160,48,12,2,6
SPLASH17,NA,159,338,48,24,0,13
