id,city,state,country,continent,conference,year,footprint
10050,Arlington,TX,USA,NA,SPLASH,10,715.0078
10051,Vienna,,Austria,EU,ICFP,12,287.4425
10051,Vienna,,Austria,EU,SPLASH,16,309.8883
10052,Toulouse,,France,EU,POPL,15,2081.447
10052,Perpignan,,France,EU,POPL,17,382.0189
10053,San Francisco,CA,USA,NA,PLDI,17,2815.9974
10054,Daly City,CA,USA,NA,SPLASH,9,171.0064
10055,Warrington,PA,USA,NA,PLDI,18,18.4283
10056,Urbana,IL,USA,NA,PLDI,14,1805.679
10056,Urbana,IL,USA,NA,PLDI,16,940.063
10056,Urbana,IL,USA,NA,PLDI,18,367.2159
10056,Urbana,IL,USA,NA,POPL,11,459.9696
10057,Muenchen,,Germany,EU,POPL,11,2595.6844
10058,Tsukuba,,Japan,AS,ICFP,11,31.9776
10058,Tokyo,,Japan,AS,POPL,11,3099.9291
10058,Ibaraki,,Japan,AS,POPL,13,2893.3572
10058,Ibaraki,,Japan,AS,POPL,17,2847.3524
10059,Malnate,,Italy,EU,PLDI,17,407.0398
10060,Amsterdam,,Netherlands,EU,POPL,16,2188.5009
10060,Amsterdam,,Netherlands,EU,SPLASH,13,1967.7402
10060,Amsterdam,,Netherlands,EU,SPLASH,15,1841.7729
10061,Greenbrae,CA,USA,NA,SPLASH,12,406.8021
10061,Davis,CA,USA,NA,SPLASH,14,434.109
10061,Davis,CA,USA,NA,SPLASH,16,2551.0889
10062,Medford,MA,USA,NA,PLDI,9,1415.4996
10062,Medford,MA,USA,NA,SPLASH,9,1190.4601
10062,Medford,MA,USA,NA,SPLASH,10,1188.9569
10063,Mountain View,CA,USA,NA,PLDI,15,298.7705
10063,Mountain View,CA,USA,NA,SPLASH,17,435.9459
10064,Bloomington,IN,USA,NA,ICFP,15,1021.7676
10065,Ankara,,Turkey,AS,ICFP,17,964.6527
10066,New York,NY,USA,NA,ICFP,10,152.1194
10066,New York,NY,USA,NA,ICFP,11,3191.3527
10066,New York,NY,USA,NA,ICFP,12,1821.2436
10066,New York,NY,USA,NA,ICFP,13,170.651
10066,New York,NY,USA,NA,POPL,12,72.313
10067,Haifa,,Israel,AS,SPLASH,10,3399.8177
10068,Aarhus N,,Denmark,EU,SPLASH,16,305.1004
10069,Montgomery,TX,USA,NA,ICFP,15,1035.1166
10070,Urbana,IL,USA,NA,SPLASH,12,731.3115
10070,Urbana,IL,USA,NA,SPLASH,14,943.7822
10070,Urbana,IL,USA,NA,SPLASH,17,962.9735
10071,Boulder,CO,USA,NA,POPL,12,844.7592
10072,W. Lafayette,IN,USA,NA,SPLASH,13,420.0417
10073,Pune,,India,AS,POPL,15,66.5611
10074,Bowling Green,OH,USA,NA,SPLASH,15,181.0872
10075,Leuven,,Belgium,EU,POPL,15,2013.5611
10076,Bamberg,,Germany,EU,POPL,11,2551.7613
10077,Porto,,Portugal,EU,SPLASH,9,2550.3995
10077,Porto,,Portugal,EU,SPLASH,10,2549.1728
10077,Porto,,Portugal,EU,SPLASH,12,2537.8267
10078,Madrid,,Spain,EU,ICFP,17,420.5161
10078,Pozuelo De Alarcon,,Spain,EU,POPL,17,348.2083
10079,Milwaukee,WI,USA,NA,SPLASH,9,886.2105
10080,Pittsburgh,PA,USA,NA,SPLASH,15,0.0
10081,Baltimore,MD,USA,NA,ICFP,12,1899.5356
10082,Lahore,AE,Pakistan,AS,POPL,14,3753.6298
10083,Villeurbanne,,France,EU,SPLASH,12,2708.9195
10084,Edinburgh,,United Kingdom,EU,ICFP,13,1453.9469
10084,Paris,,France,EU,ICFP,17,229.6639
10084,Paris,,France,EU,POPL,18,2673.1413
10085,Brest,,France,EU,POPL,15,2208.1267
10086,Bloomington,IN,USA,NA,ICFP,10,282.4785
10086,Boston,MA,USA,NA,ICFP,11,3174.5899
10086,Boston,MA,USA,NA,ICFP,12,1732.6138
10086,Boston,MA,USA,NA,ICFP,13,0.0
10086,Boston,MA,USA,NA,ICFP,15,1184.6123
10086,Boston,MA,USA,NA,ICFP,16,3242.4347
10086,Providence,RI,USA,NA,ICFP,17,1542.5666
10086,Boston,MA,USA,NA,ICFP,18,551.4356
10086,Boston,MA,USA,NA,PLDI,17,1725.5798
10086,Chicago,IL,USA,NA,POPL,9,405.9786
10086,Boston,MA,USA,NA,POPL,12,242.9057
10086,Providence,RI,USA,NA,POPL,13,1954.7282
10086,Boston,MA,USA,NA,POPL,14,1220.7317
10086,Boston,MA,USA,NA,POPL,16,637.1906
10086,Providence,RI,USA,NA,POPL,17,1644.9785
10086,Providence,RI,USA,NA,POPL,18,1219.0511
10087,Oxford,,United Kingdom,EU,POPL,18,2553.6506
10088,Allentown,PA,USA,NA,ICFP,14,1812.2402
10089,Corvallis,OR,USA,NA,SPLASH,14,64.7157
10090,Urbana,IL,USA,NA,PLDI,14,1805.679
10091,Portland,OR,USA,NA,ICFP,11,2292.839
10091,Portland,OR,USA,NA,ICFP,12,2357.5056
10091,Portland,OR,USA,NA,POPL,11,908.0592
10092,Seoul,,South Korea,AS,POPL,13,2638.127
10093,Copenhagen,,Denmark,EU,ICFP,12,0.0
10094,Medford,MA,USA,NA,PLDI,16,1254.9217
10095,Uppsala,,Sweden,EU,ICFP,14,226.2878
10096,Salzburg,,Austria,EU,PLDI,13,2520.7425
10096,Salzburg,,Austria,EU,SPLASH,14,2584.0532
10097,Stanford,CA,USA,NA,PLDI,13,373.2701
10097,Stanford,CA,USA,NA,PLDI,16,223.6172
10097,Stanford,CA,USA,NA,PLDI,18,1189.314
10097,Stanford,CA,USA,NA,POPL,11,788.2033
10097,Stanford,CA,USA,NA,POPL,14,386.6212
10097,Stanford,CA,USA,NA,POPL,18,287.5652
10098,London,,United Kingdom,EU,SPLASH,16,199.5098
10099,Boca Raton,FL,USA,NA,SPLASH,12,1008.5693
10100,Osaka,,Japan,AS,ICFP,16,15.465
10101,Tokyo,,Japan,AS,SPLASH,10,2457.8044
10102,Istanbul,,Turkey,AS,SPLASH,9,3094.3308
